component,biomass,site,trap_number
pine_needles,NA,BP,1
male_cones,NA,BP,1
structural,NA,BP,1
total_litter,NA,BP,1
pine_needles,86.52,BP,2
male_cones,2.04,BP,2
structural,4.8,BP,2
total_litter,93.3599,BP,2
pine_needles,52.56,BP,3
male_cones,0.96,BP,3
structural,14,BP,3
total_litter,67.5199,BP,3
pine_needles,81.44,BP,4
male_cones,1.08,BP,4
structural,11.16,BP,4
total_litter,93.6799,BP,4
pine_needles,54.8,BP,5
male_cones,0.96,BP,5
structural,12.68,BP,5
total_litter,68.4399,BP,5
pine_needles,65.08,BP,6
male_cones,0.36,BP,6
structural,7.76,BP,6
total_litter,73.1999,BP,6
pine_needles,NA,BP,7
male_cones,NA,BP,7
structural,NA,BP,7
total_litter,NA,BP,7
pine_needles,66.56,BP,8
male_cones,2.76,BP,8
structural,9.08,BP,8
total_litter,78.3999,BP,8
pine_needles,NA,BP,9
male_cones,NA,BP,9
structural,NA,BP,9
total_litter,NA,BP,9
pine_needles,NA,BP,10
male_cones,NA,BP,10
structural,NA,BP,10
total_litter,NA,BP,10
pine_needles,70.8094,BP,11
male_cones,1.54614,BP,11
structural,9.9768,BP,11
total_litter,82.3323,BP,11
pine_needles,15.4394,BP,12
male_cones,1.11745,BP,12
structural,8.9054,BP,12
total_litter,25.4623,BP,12
pine_needles,38.3057,JS,1
male_cones,1.15474,JS,1
structural,4.19402,JS,1
total_litter,43.6545,JS,1
pine_needles,20.0719,JS,2
male_cones,0.04,JS,2
structural,0.49395,JS,2
total_litter,20.6058,JS,2
pine_needles,NA,JS,3
male_cones,NA,JS,3
structural,NA,JS,3
total_litter,NA,JS,3
pine_needles,32.8279,JS,4
male_cones,0.12,JS,4
structural,0.69395,JS,4
total_litter,33.6418,JS,4
pine_needles,29.3552,JS,5
male_cones,0.13879,JS,5
structural,0.43516,JS,5
total_litter,29.9292,JS,5
pine_needles,NA,JS,6
male_cones,NA,JS,6
structural,NA,JS,6
total_litter,NA,JS,6
pine_needles,41.1458,JS,7
male_cones,0.4,JS,7
structural,0.47516,JS,7
total_litter,42.0209,JS,7
pine_needles,45.5983,JS,8
male_cones,0.12,JS,8
structural,0.79274,JS,8
total_litter,46.5111,JS,8
pine_needles,NA,JS,9
male_cones,NA,JS,9
structural,NA,JS,9
total_litter,NA,JS,9
pine_needles,50.39,JS,10
male_cones,0.2,JS,10
structural,0.65395,JS,10
total_litter,51.244,JS,10
pine_needles,39.6305,JS,11
male_cones,0.38014,JS,11
structural,1.04385,JS,11
total_litter,41.0544,JS,11
pine_needles,20.1588,JS,12
male_cones,0.62358,JS,12
structural,1.86026,JS,12
total_litter,21.8543,JS,12
pine_needles,82.8,LF,1
male_cones,3.64,LF,1
structural,25.32,LF,1
total_litter,111.76,LF,1
pine_needles,83.12,LF,2
male_cones,2.8,LF,2
structural,1.44,LF,2
total_litter,87.36,LF,2
pine_needles,NA,LF,3
male_cones,NA,LF,3
structural,NA,LF,3
total_litter,NA,LF,3
pine_needles,NA,LF,4
male_cones,NA,LF,4
structural,NA,LF,4
total_litter,NA,LF,4
pine_needles,NA,LF,5
male_cones,NA,LF,5
structural,NA,LF,5
total_litter,NA,LF,5
pine_needles,95.16,LF,6
male_cones,3.08,LF,6
structural,12.72,LF,6
total_litter,110.96,LF,6
pine_needles,NA,LF,7
male_cones,NA,LF,7
structural,NA,LF,7
total_litter,NA,LF,7
pine_needles,NA,LF,8
male_cones,NA,LF,8
structural,NA,LF,8
total_litter,NA,LF,8
pine_needles,59.8,LF,9
male_cones,2.68,LF,9
structural,6.96,LF,9
total_litter,69.44,LF,9
pine_needles,NA,LF,10
male_cones,NA,LF,10
structural,NA,LF,10
total_litter,NA,LF,10
pine_needles,NA,LF,11
male_cones,NA,LF,11
structural,NA,LF,11
total_litter,NA,LF,11
pine_needles,NA,LF,12
male_cones,NA,LF,12
structural,NA,LF,12
total_litter,NA,LF,12
pine_needles,NA,ML,1
male_cones,NA,ML,1
structural,NA,ML,1
total_litter,NA,ML,1
alder_leaves,0,ML,1
pine_needles,81.52,ML,2
male_cones,6,ML,2
structural,10.96,ML,2
total_litter,109.88,ML,2
alder_leaves,0,ML,2
pine_needles,108.16,ML,3
male_cones,4.08,ML,3
structural,36.36,ML,3
total_litter,139.76,ML,3
alder_leaves,2.56,ML,3
pine_needles,NA,ML,4
male_cones,NA,ML,4
structural,NA,ML,4
total_litter,NA,ML,4
alder_leaves,0,ML,4
pine_needles,73,ML,5
male_cones,6,ML,5
structural,9.24,ML,5
total_litter,94.96,ML,5
alder_leaves,6.72,ML,5
pine_needles,56.36,ML,6
male_cones,0.88,ML,6
structural,1.52,ML,6
total_litter,58.76,ML,6
alder_leaves,0,ML,6
pine_needles,NA,ML,7
male_cones,NA,ML,7
structural,NA,ML,7
total_litter,NA,ML,7
alder_leaves,0,ML,7
pine_needles,NA,ML,8
male_cones,NA,ML,8
structural,NA,ML,8
total_litter,NA,ML,8
alder_leaves,0,ML,8
pine_needles,110.88,ML,9
male_cones,14.6,ML,9
structural,16,ML,9
total_litter,141.48,ML,9
alder_leaves,0,ML,9
pine_needles,18.8,ML,10
male_cones,2.08,ML,10
structural,29.36,ML,10
total_litter,89.56,ML,10
alder_leaves,39.24,ML,10
pine_needles,NA,ML,11
male_cones,4.314,ML,11
structural,NA,ML,11
total_litter,NA,ML,11
alder_leaves,4.852,ML,11
pine_needles,NA,ML,12
male_cones,5.0558,ML,12
structural,NA,ML,12
total_litter,NA,ML,12
alder_leaves,12.275,ML,12
pine_needles,74.976,OI,1
male_cones,0.19758,OI,1
structural,22.9719,OI,1
total_litter,98.146,OI,1
pine_needles,85.18,OI,2
male_cones,0.09879,OI,2
structural,2.5685,OI,2
total_litter,87.848,OI,2
pine_needles,51.128,OI,3
male_cones,1.67943,OI,3
structural,1.0679,OI,3
total_litter,53.876,OI,3
pine_needles,NA,OI,4
male_cones,NA,OI,4
structural,NA,OI,4
total_litter,NA,OI,4
pine_needles,NA,OI,5
male_cones,NA,OI,5
structural,NA,OI,5
total_litter,NA,OI,5
pine_needles,NA,OI,6
male_cones,NA,OI,6
structural,NA,OI,6
total_litter,NA,OI,6
pine_needles,NA,OI,7
male_cones,NA,OI,7
structural,NA,OI,7
total_litter,NA,OI,7
pine_needles,41.168,OI,8
male_cones,0.29637,OI,8
structural,9.2939,OI,8
total_litter,50.758,OI,8
pine_needles,122.861,OI,9
male_cones,1.08669,OI,9
structural,6.7601,OI,9
total_litter,130.707,OI,9
pine_needles,NA,OI,10
male_cones,NA,OI,10
structural,NA,OI,10
total_litter,NA,OI,10
pine_needles,72.761,OI,11
male_cones,1.6893,OI,11
structural,7.4952,OI,11
total_litter,81.945,OI,11
pine_needles,38.325,OI,12
male_cones,2.33443,OI,12
structural,14.6105,OI,12
total_litter,46.626,OI,12
pine_needles,NA,SA,1
spruce_needles,NA,SA,1
aspen_leaves,NA,SA,1
male_cones,NA,SA,1
structural,NA,SA,1
total_litter,NA,SA,1
pine_needles,NA,SA,2
spruce_needles,NA,SA,2
aspen_leaves,NA,SA,2
male_cones,NA,SA,2
structural,NA,SA,2
total_litter,NA,SA,2
pine_needles,NA,SA,3
spruce_needles,NA,SA,3
aspen_leaves,NA,SA,3
male_cones,NA,SA,3
structural,NA,SA,3
total_litter,NA,SA,3
pine_needles,NA,SA,4
spruce_needles,NA,SA,4
aspen_leaves,NA,SA,4
male_cones,NA,SA,4
structural,NA,SA,4
total_litter,NA,SA,4
pine_needles,NA,SA,5
spruce_needles,NA,SA,5
aspen_leaves,NA,SA,5
male_cones,NA,SA,5
structural,NA,SA,5
total_litter,NA,SA,5
pine_needles,NA,SA,6
spruce_needles,NA,SA,6
aspen_leaves,NA,SA,6
male_cones,NA,SA,6
structural,NA,SA,6
total_litter,NA,SA,6
pine_needles,58.24,SA,7
spruce_needles,4.48,SA,7
aspen_leaves,0,SA,7
male_cones,2.48,SA,7
structural,9.48,SA,7
total_litter,71,SA,7
pine_needles,82.48,SA,8
spruce_needles,10.12,SA,8
aspen_leaves,0.12,SA,8
male_cones,5.36,SA,8
structural,24.68,SA,8
total_litter,126.36,SA,8
pine_needles,NA,SA,9
spruce_needles,NA,SA,9
aspen_leaves,NA,SA,9
male_cones,NA,SA,9
structural,NA,SA,9
total_litter,NA,SA,9
pine_needles,NA,SA,10
spruce_needles,NA,SA,10
aspen_leaves,NA,SA,10
male_cones,NA,SA,10
structural,NA,SA,10
total_litter,NA,SA,10
pine_needles,64.601,SA,11
spruce_needles,17.957,SA,11
aspen_leaves,3.96,SA,11
male_cones,14.0969,SA,11
structural,22.9013,SA,11
total_litter,126.514,SA,11
pine_needles,19.325,SA,12
spruce_needles,26.525,SA,12
aspen_leaves,7.976,SA,12
male_cones,26.6483,SA,12
structural,18.1036,SA,12
total_litter,64.182,SA,12
pine_needles,62.08,WO,1
male_cones,0.68,WO,1
structural,31.04,WO,1
total_litter,93.8,WO,1
pine_needles,NA,WO,2
male_cones,NA,WO,2
structural,NA,WO,2
total_litter,NA,WO,2
pine_needles,NA,WO,3
male_cones,NA,WO,3
structural,NA,WO,3
total_litter,NA,WO,3
pine_needles,48.32,WO,4
male_cones,1.48,WO,4
structural,19.92,WO,4
total_litter,69.72,WO,4
pine_needles,NA,WO,5
male_cones,NA,WO,5
structural,NA,WO,5
total_litter,NA,WO,5
pine_needles,64.72,WO,6
male_cones,4.48,WO,6
structural,15.32,WO,6
total_litter,84.52,WO,6
pine_needles,NA,WO,7
male_cones,NA,WO,7
structural,NA,WO,7
total_litter,NA,WO,7
pine_needles,NA,WO,8
male_cones,NA,WO,8
structural,NA,WO,8
total_litter,NA,WO,8
pine_needles,NA,WO,9
male_cones,NA,WO,9
structural,NA,WO,9
total_litter,NA,WO,9
pine_needles,NA,WO,10
male_cones,NA,WO,10
structural,NA,WO,10
total_litter,NA,WO,10
pine_needles,NA,WO,11
male_cones,NA,WO,11
structural,NA,WO,11
total_litter,NA,WO,11
pine_needles,NA,WO,12
male_cones,NA,WO,12
structural,NA,WO,12
total_litter,NA,WO,12
pine_needles,NA,WY,1
male_cones,NA,WY,1
structural,NA,WY,1
total_litter,NA,WY,1
pine_needles,76.48,WY,2
male_cones,0.84,WY,2
structural,7.36,WY,2
total_litter,84.68,WY,2
pine_needles,49.7999,WY,3
male_cones,0.24,WY,3
structural,2.72,WY,3
total_litter,52.76,WY,3
pine_needles,80.4399,WY,4
male_cones,1.52,WY,4
structural,7.24,WY,4
total_litter,89.2,WY,4
pine_needles,NA,WY,5
male_cones,NA,WY,5
structural,NA,WY,5
total_litter,NA,WY,5
pine_needles,65.0399,WY,6
male_cones,0.72,WY,6
structural,17.16,WY,6
total_litter,82.92,WY,6
pine_needles,42.56,WY,7
male_cones,1.24,WY,7
structural,4.32,WY,7
total_litter,48.12,WY,7
pine_needles,66.7999,WY,8
male_cones,1.16,WY,8
structural,4.76,WY,8
total_litter,72.72,WY,8
pine_needles,79.7199,WY,9
male_cones,2.8,WY,9
structural,16.92,WY,9
total_litter,99.44,WY,9
pine_needles,72.6799,WY,10
male_cones,3.84,WY,10
structural,36.36,WY,10
total_litter,112.88,WY,10
pine_needles,68.7586,WY,11
male_cones,1.49155,WY,11
structural,15.0364,WY,11
total_litter,85.287,WY,11
pine_needles,23.9725,WY,12
male_cones,1.30871,WY,12
structural,22.867,WY,12
total_litter,44.678,WY,12
