1B,0,0,0,0,.1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,0,0,0,0,0,85,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,0,0,0,4,.1,75,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1H,0,0,0,2,20,50,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,0,0,0,25,60,0,0,1,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,0,0,0,0,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,0,0,0,0,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3F,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,0,0,0,0,20,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3B,0,0,0,8,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
5B,0,0,0,1,2,80,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0
5D,0,0,0,0,20,50,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
5F,0,0,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5H,0,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0
5J,0,0,0,0,85,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,0,30,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.1,0,0
7H,0,0,0,0,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7F,0,0,20,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,0,0,0,10,1,80,0,0,0,.1,0,1,0,0,0,0,.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7B,0,0,0,0,.1,85,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9B,1,0,0,2,.1,40,.01,0,0,.1,0,0,.1,0,.01,0,1,0,.01,0,.01,5,0,0,0,0,.1,0,0,0,0,0,0
9D,0,0,0,0,10,85,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,.1,0,0,0,20,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9H,0,0,0,0,25,20,0,0,0,1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,0,0,0,0,35,20,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,0,0,0,0,10,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,0,0,0,0,0,80,0,0,0,0,0,15,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,0,0,0,3,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1H,0,0,0,2,15,55,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,0,0,0,35,45,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,0,0,0,0,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3F,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,0,0,0,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3B,0,0,0,5,25,35,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,1,5,0,0,0,0,0,0,0,0,0,0,0
5B,0,0,0,3,15,75,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0
5D,0,0,0,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
5F,0,0,0,0,65,20,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5H,0,0,0,0,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0
5J,0,0,0,0,80,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,0,30,0,.1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7H,0,0,0,0,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7F,0,0,25,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,0,0,0,10,5,70,0,0,0,.1,.1,0,0,0,0,0,.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7B,0,0,0,0,.1,85,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9B,.1,0,0,1,1,30,.01,0,0,.1,0,0,0,0,0,0,.1,0,0,0,.01,4,0,0,0,0,.1,0,0,0,0,0,0
9D,0,0,0,0,15,75,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,0,0,0,0,40,45,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9H,0,0,0,0,35,20,0,0,0,1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,0,0,0,0,40,20,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,0,0,0,0,10,75,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,0,0,0,0,0,70,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,0,0,0,3,.1,60,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1H,0,0,0,2,25,35,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,0,0,0,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,0,0,0,0,60,15,0,0,0,.01,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,0,0,0,0,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3F,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0
3D,0,0,0,0,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3B,0,0,0,10,25,50,0,0,0,.01,0,0,0,0,0,0,0,0,.01,0,0,4,1,0,0,0,0,0,0,0,0,0,0
5B,0,0,0,3,2,75,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0
5D,0,0,0,0,10,75,0,0,0,.01,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
5F,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5H,0,0,0,0,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0
5J,0,0,0,0,80,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,0,25,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.01,0
7H,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7F,0,0,25,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,0,0,0,8,5,75,0,0,0,1,0,0,0,0,0,0,.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7B,0,0,0,0,.1,85,.01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9B,0,0,0,2,.1,35,.01,0,0,.1,0,0,0,0,0,0,.1,0,.1,0,.1,5,0,0,0,0,.1,0,0,0,0,0,0
9D,0,0,0,0,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,0,0,0,0,20,70,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9H,0,0,0,0,15,30,0,0,0,1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,0,0,0,0,30,25,0,0,0,1,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,0,0,0,0,10,60,0,0,0,0,0,0,0,0,.01,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,0,0,0,0,0,80,0,0,0,0,0,10,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,0,0,0,2,.1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1H,0,0,0,2,25,40,0,0,0,.1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,0,0,0,15,70,0,0,1,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,0,0,0,0,60,10,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,0,0,0,0,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3F,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,0,0,0,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3B,0,0,0,6,30,35,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,.1,4,.1,0,0,0,0,0,0,0,0,0,0
5B,0,0,0,1,1,75,0,0,0,0,3,0,0,0,.01,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0
5D,0,0,0,0,20,60,0,0,.1,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
5F,0,0,0,0,50,30,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5H,0,0,0,0,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
5J,0,0,0,0,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,0,35,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.01,0,0,0
7H,0,0,.01,0,30,45,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7F,0,0,25,0,30,25,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,0,0,0,20,1,65,0,0,0,1,0,0,0,0,0,0,.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7B,0,0,0,0,0,80,.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9B,.1,0,0,2,0,40,.01,0,0,.1,0,0,0,0,0,0,.1,0,0,0,0,4,.01,0,0,0,.1,0,0,0,0,0,0
9D,0,0,0,0,3,80,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,0,0,0,0,30,50,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9H,0,0,0,0,35,20,0,0,0,1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,0,0,0,0,45,30,0,0,0,.1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,0,0,0,0,0,75,0,0,0,0,0,0,7,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,.01,0,.01,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1H,0,0,0,2,3,55,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,0,0,0,30,55,0,0,.1,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,0,0,0,0,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3F,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0
3D,0,0,0,0,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3B,0,0,0,4,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,.1,0,0,0,0,0,0,0,0,0,0
5B,0,0,0,1,1,75,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5D,0,0,0,0,10,65,0,0,.01,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
5F,0,0,0,0,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5H,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0
5J,0,0,0,0,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,.01,0
7H,0,0,0,0,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7F,0,0,15,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,0,0,0,10,2,55,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0
7B,0,0,0,0,0,85,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9B,0,0,0,1,.1,30,.01,0,0,0,0,0,2,0,0,0,.1,0,.01,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9D,0,0,0,0,10,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,0,0,0,0,20,60,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9H,0,0,0,0,20,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01
9J,0,0,0,0,25,15,0,0,0,.1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
