Stand 7 - 2010 new tree recruits (for the south half of the stand),quad,tree_tag,species,position_N,position_S,position_E,position_W,DBH10,Height10,Code10,AmtNum10,Direction10,Comments10
7,0A,1,PIMA,0.7,.,.,1.3,2.8,4.1,.,.,.,.
7,0A,2,PIMA,2.1,.,2.4,.,3,3.8,.,.,.,.
7,0A,3,PIMA,0.8,.,1.3,.,4.2,5.5,.,.,.,.
7,0A,4,PIMA,1.2,.,0.2,.,2.7,3.3,.,.,.,.
7,0B,5,PIMA,2.3,.,.,0.5,3.3,3.7,.,.,.,.
7,0B,6,PIMA,1.4,.,.,0.9,3.3,4.3,.,.,.,.
7,0B,7,PIMA,.,0.6,0.7,.,2.8,3.2,.,.,.,.
7,0B,8,PIMA,0.9,.,0.3,.,2.8,3.4,.,.,.,.
7,0B,9,PIMA,0.7,.,0.3,.,3.3,3.9,.,.,.,.
7,0C,10,PIMA,.,0.9,.,0.5,3,3.5,.,.,.,.
7,0C,11,PIMA,2,.,.,1.1,3.1,3.4,.,.,.,.
7,0C,12,PIMA,.,0.9,0.6,.,3.8,4.3,.,.,.,.
7,0C,13,PIMA,.,2.2,1,.,2.7,3.4,.,.,.,.
7,0C,14,PIMA,1.1,.,0.6,.,2.5,2.7,.,.,.,.
7,0D,15,PIMA,0.4,.,.,1.6,3.9,4.4,.,.,.,.
7,0D,16,PIMA,1.3,.,1.5,.,3.6,4.7,.,.,.,.
7,0D,17,PIMA,0.6,.,0.8,.,2.8,3,.,.,.,.
7,0D,18,PIMA,0.2,.,0.2,.,3.1,3.8,.,.,.,.
7,0D,19,PIMA,0.6,.,0.2,.,2.8,4,.,.,.,.
7,0E,20,PIMA,1.3,.,.,0.2,3,4,.,.,.,.
7,0E,21,PIMA,.,0.4,1.9,.,2.8,3.2,.,.,.,.
7,0E,22,PIMA,.,2.1,1.5,.,3,3.9,.,.,.,.
7,0E,23,PIMA,.,1.8,0.6,.,2.7,3.2,.,.,.,.
7,0F,24,PIMA,2,.,.,0.1,4.1,4.7,.,.,.,.
7,0F,25,PIMA,0.7,.,.,0.8,3.1,3.6,.,.,.,.
7,0F,26,PIMA,.,1.4,1.1,.,2.9,1.9,LL,45,NW,.
7,0F,27,PIMA,.,1.7,.,1.7,2.7,3,.,.,.,.
7,0G,28,PIMA,.,0.6,.,0.7,2.9,4,LL,15,NE,.
7,0G,29,PIMA,.,0.6,.,0.8,3,3.8,.,.,.,.
7,0G,30,PIMA,.,1.7,.,1.6,2.9,4.7,.,.,.,.
7,0G,31,PIMA,0.6,.,.,1.7,3.1,3.2,.,.,.,.
7,0G,32,PIMA,.,2,1.2,.,3.3,4.1,.,.,.,.
7,0G,33,PIMA,2.1,.,0.3,.,4.2,4.2,.,.,.,.
7,0G,34,PIMA,1.5,.,0.4,.,3.4,3.6,.,.,.,.
7,0H,35,PIMA,.,0.3,0.9,.,3.5,4.4,.,.,.,.
7,0H,36,PIMA,.,0.5,0.4,.,3.3,4.2,.,.,.,.
7,0H,37,PIMA,.,1.3,0.2,.,2.9,3.8,.,.,.,.
7,0I,38,PIMA,.,1.5,.,0.9,2.9,3.5,.,.,.,.
7,0I,39,PIMA,1.5,.,1.3,.,2.8,3.4,LL,10,NE,.
7,0J,40,PIMA,1.9,.,.,1.3,3.1,4,.,.,.,.
7,1J,41,PIMA,2.3,.,.,1.5,2.9,3.8,.,.,.,.
7,1J,42,PIMA,0.6,.,.,1.5,3.2,3.5,.,.,.,.
7,1J,43,PIMA,0.3,.,1.7,.,2.8,3.7,.,.,.,.
7,1J,44,PIMA,0.6,.,.,2.3,3.5,3.7,.,.,.,.
7,1J,45,PIMA,.,0.4,.,1.1,2.8,3.6,.,.,.,.
7,1J,46,PIMA,.,1.1,.,0.7,2.8,3.1,.,.,.,.
7,1J,47,PIMA,0.2,.,.,0.4,3.5,3.4,.,.,.,.
7,1J,48,PIMA,0.3,.,.,0.2,2.8,3.2,.,.,.,.
7,1I,49,PIMA,.,2.2,0.9,.,2.9,3.2,.,.,.,.
7,1I,50,PIMA,.,1.9,1.2,.,2.7,3.2,.,.,.,.
7,1H,51,PIMA,1.1,.,.,0.9,3.3,4,.,.,.,.
7,1H,52,PIMA,2,.,.,1.1,2.7,3.5,.,.,.,.
7,1G,53,PIMA,.,1.5,0.7,.,3.2,3.3,.,.,.,.
7,1G,54,PIMA,.,0.5,1.2,.,3.2,3.2,.,.,.,.
7,1G,55,PIMA,0.6,.,.,2.1,3.1,4,.,.,.,.
7,1G,56,PIMA,0.6,.,.,2,2.7,3.7,.,.,.,.
7,1G,57,PIMA,0.6,.,.,1,2.9,3.6,LL,10,E,.
7,1G,58,PIMA,.,1.4,.,0.1,2.8,3.7,.,.,.,.
7,1F,59,PIMA,1.1,.,0.4,.,2.7,3.7,.,.,.,.
7,1F,60,LALA,1.7,.,1.7,.,3.2,5.4,.,.,.,.
7,1F,61,PIMA,.,1.3,.,1.8,2.9,3.6,.,.,.,.
7,1F,62,PIMA,1.7,.,.,0.2,2.8,3.2,.,.,.,.
7,1E,63,PIMA,2.2,.,0,.,3.7,4.4,.,.,.,.
7,1E,64,PIMA,2.2,.,0,.,2.8,3.8,.,.,.,.
7,1E,65,PIMA,1.1,.,0.3,.,2.8,3.2,.,.,.,.
7,1E,66,PIMA,.,1.2,1.4,.,3.2,2.6,.,.,.,dead_top
7,1E,67,PIMA,.,1.7,1.6,.,2.9,3.7,.,.,.,.
7,1E,68,PIMA,1.1,.,1.8,.,2.9,3.7,.,.,.,.
7,1E,69,LALA,1.3,.,.,1.1,3.7,4.2,.,.,.,.
7,1D,70,PIMA,1.9,.,0.1,.,3,3.5,.,.,.,.
7,1D,71,PIMA,0.9,.,1,.,2.8,3,.,.,.,.
7,1D,72,PIMA,.,1.4,1.3,.,2.9,4.2,.,.,.,.
7,1D,73,PIMA,1.5,.,.,1.2,2.9,3.9,.,.,.,.
7,1D,74,PIMA,1.6,.,.,1.1,2.6,3.9,.,.,.,.
7,1D,75,PIMA,.,1.2,.,0.8,2.8,3.6,.,.,.,.
7,1D,76,PIMA,.,1.1,.,0.6,2.8,3.6,.,.,.,.
7,1D,77,PIMA,0.2,.,.,0.5,2.9,3.6,.,.,.,.
7,1C,78,PIMA,0.3,.,1.6,.,3.1,3.6,.,.,.,.
7,1C,79,PIMA,.,2.1,.,1.9,2.8,3.8,.,.,.,.
7,1B,80,PIMA,.,2,0.3,.,3.3,4.1,.,.,.,.
7,1B,81,PIMA,0.3,.,0.2,.,3.5,4.2,.,.,.,.
7,1B,82,PIMA,1.7,.,.,0.3,3.6,4.6,.,.,.,.
7,1A,83,PIMA,.,1.3,.,1,2.9,4.1,.,.,.,.
7,1A,84,PIMA,.,1.3,.,1,4,5.4,.,.,.,.
7,1A,85,PIMA,0.9,.,.,2,4,5.2,.,.,.,.
7,1A,86,PIMA,0.5,.,.,2.4,2.8,3.8,.,.,.,.
7,2A,87,PIMA,.,1,.,1.9,2.6,3,.,.,.,.
7,2A,88,PIMA,.,2.2,0.8,.,3,3.8,.,.,.,.
7,2B,89,PIMA,.,1.7,.,0.2,2.9,4.4,.,.,.,.
7,2B,90,PIMA,.,0.3,.,0.2,2.8,3.8,.,.,.,.
7,2B,91,PIMA,.,0,.,1.4,2.9,3.7,.,.,.,.
7,2B,92,PIMA,1,.,.,2,2.9,4,.,.,.,.
7,2B,93,PIMA,.,0.8,0.7,.,3.3,4.2,.,.,.,.
7,2C,94,PIMA,.,0.4,.,0.3,2.8,3.6,LL,30,SW,.
7,2C,95,PIMA,.,1.2,.,1.2,2.8,3.4,.,.,.,.
7,2C,96,PIMA,0.4,.,.,2.5,2.7,2.7,LL,40,N,.
7,2C,97,PIMA,.,0.5,1.1,.,3,3.5,.,.,.,.
7,2D,98,PIMA,1.4,.,.,0.7,3.6,3.8,.,.,.,.
7,2D,99,PIMA,0.3,.,.,0.8,3.8,4.1,.,.,.,.
7,2E,100,PIMA,.,0.4,2.1,.,3.1,2.6,LL,35,SW,.
7,2E,101,PIMA,.,0.8,1.4,.,3.1,3.5,.,.,.,.
7,2F,102,LALA,.,0.8,2.4,.,3.2,4.7,.,.,.,.
7,2F,103,LALA,.,1.4,1.9,.,5.4,6.6,.,.,.,.
7,2F,104,LALA,.,0.3,2,.,3.2,4.7,.,.,.,.
7,2F,105,LALA,.,2.2,0.3,.,3.6,5.7,.,.,.,.
7,2G,106,PIMA,2,.,.,1.6,3,4.2,.,.,.,.
7,2G,107,PIMA,.,1.1,2.3,.,2.8,3.9,.,.,.,.
7,2G,108,PIMA,1.6,.,1.7,.,3.4,4.3,.,.,.,.
7,2G,109,PIMA,1.7,.,1.5,.,2.6,4,.,.,.,.
7,2G,110,PIMA,1.8,.,1.3,.,3,3.6,LL,20,SE,.
7,2G,111,PIMA,1,.,0.5,.,2.8,3.6,.,.,.,.
7,2G,112,PIMA,1.2,.,0.4,.,2.7,3.2,.,.,.,.
7,2H,113,PIMA,0.2,.,.,0.9,2.9,2.9,.,.,.,.
7,2H,114,PIMA,0.9,.,.,1.3,4,4.2,.,.,.,.
7,2H,115,PIMA,1,.,1.3,.,3.8,4,.,.,.,.
7,2H,116,PIMA,0.9,.,0.9,.,3.1,3.6,.,.,.,.
7,2H,117,PIMA,0.2,.,1,.,2.5,3.3,.,.,.,.
7,2I,118,PIMA,0,.,.,0.7,2.9,3.5,.,.,.,.
7,2J,119,PIMA,.,1.9,.,0.8,2.6,3.3,.,.,.,.
7,2J,120,PIMA,0.8,.,1.8,.,3.1,3.7,.,.,.,.
7,2J,121,PIMA,.,0.7,1.3,.,2.6,3.4,.,.,.,.
7,2J,122,PIMA,.,0.5,0.4,.,2.9,3.5,.,.,.,.
7,2J,123,PIMA,.,1.7,0.4,.,2.6,3.6,.,.,.,.
7,2J,124,PIMA,0.1,.,0.8,.,3,4.2,LL,20,N,.
7,3J,125,PIMA,.,0.8,0.1,.,3.1,3.7,.,.,.,.
7,3J,126,PIMA,.,0.4,.,1.5,3.5,4.9,.,.,.,.
7,3J,127,PIMA,.,1.4,.,1.4,3.9,5.3,.,.,.,.
7,3J,128,PIMA,.,0.9,.,0.6,3.7,4.6,.,.,.,.
7,3J,129,PIMA,1.2,.,.,0.1,3.1,4.4,.,.,.,.
7,3I,130,PIMA,0.6,.,0.1,.,3.7,4.7,.,.,.,.
7,3I,131,PIMA,.,0.7,1.8,.,3,4.1,.,.,.,.
7,3H,132,PIMA,1.3,.,1.7,.,3.4,3.7,.,.,.,.
7,3H,133,PIMA,0.4,.,.,1.6,2.9,3.9,.,.,.,.
7,3G,134,PIMA,.,1.7,1,.,3.1,4.2,.,.,.,.
7,3G,135,PIMA,.,2.2,0.7,.,3.2,4,.,.,.,.
7,3G,136,PIMA,.,2.4,0.6,.,3,3.9,.,.,.,.
7,3G,137,PIMA,.,2.5,0.4,.,3,3.8,.,.,.,.
7,3G,138,PIMA,.,2.3,.,0.1,2.9,3.5,.,.,.,.
7,3F,139,PIMA,.,1,1.4,.,3.3,3.6,.,.,.,.
7,3E,140,PIMA,1.5,.,0.3,.,3.5,4,.,.,.,.
7,3E,141,PIMA,0.5,.,0.7,.,3.3,3.1,LL,45,SW,.
7,3E,142,PIMA,2,.,.,1.6,2.8,3.8,.,.,.,.
7,3E,143,PIMA,1.5,.,.,1.9,3.5,4.3,.,.,.,.
7,3D,144,PIMA,.,1.7,1,.,2.9,4.4,.,.,.,.
7,3D,145,PIMA,.,0.6,.,1,2.5,3.2,LL,10,E,.
7,3D,146,PIMA,.,2.4,.,0.4,3.4,2.7,.,.,.,.
7,3D,147,PIMA,1.6,.,.,0,3.4,3.6,.,.,.,.
7,3C,148,PIMA,1.9,.,0.8,.,2.5,2.6,.,.,.,.
7,3C,149,PIMA,2,.,1.2,.,2.9,3.2,.,.,.,.
7,3C,150,PIMA,0.1,.,1.5,.,3.7,4.3,.,.,.,.
7,3C,151,PIMA,1.3,.,.,1.6,3.4,3.9,.,.,.,.
7,3B,152,PIMA,0.8,.,0.6,.,2.7,3.1,LL,30,SE,.
7,3B,153,PIMA,.,0.9,1.9,.,2.8,3.8,.,.,.,.
7,3B,154,PIMA,.,1.7,2.2,.,3.1,4.2,.,.,.,.
7,3B,155,PIMA,.,1.8,.,1.5,3.2,4.7,.,.,.,.
7,3B,156,PIMA,1.9,.,.,0.9,3.3,5.9,.,.,.,.
7,3B,157,PIMA,0.2,.,.,0.6,3.5,4.9,.,.,.,.
7,3A,158,PIMA,2.2,.,0.5,.,3.2,3.1,LL,45,SE,.
7,3A,159,PIMA,.,0.8,1.6,.,3.8,4.8,.,.,.,.
7,3A,160,PIMA,.,0.1,1.5,.,2.9,3.1,.,.,.,.
7,3A,161,PIMA,.,0.1,2.5,.,3.5,4,.,.,.,.
7,3A,162,PIMA,.,2.5,.,0.4,2.7,3.4,.,.,.,.
7,4A,163,PIMA,.,1.7,.,0.5,2.9,3.7,.,.,.,.
7,4A,164,PIMA,.,2.3,.,1.9,2.7,3,.,.,.,dead_top
7,4A,165,PIMA,0,.,1.6,.,3.1,3.8,.,.,.,.
7,4B,166,PIMA,1.2,.,.,2.1,3.7,4.6,LL,40,SE,.
7,4B,167,PIMA,1.6,.,0.7,.,2.6,3.5,.,.,.,.
7,4C,168,PIMA,1.2,.,.,0.2,3.3,5,.,.,.,.
7,4C,169,PIMA,0.8,.,.,0.3,3,4.8,.,.,.,.
7,4C,170,PIMA,0.4,.,.,0.7,3.3,5.2,.,.,.,.
7,4C,171,PIMA,0.9,.,.,1.3,3.5,4.4,.,.,.,.
7,4C,172,PIMA,1.6,.,.,1.6,3.2,4.7,.,.,.,.
7,4C,173,PIMA,.,1.1,.,0.8,4,5.1,.,.,.,.
7,4C,174,PIMA,.,0.9,2.4,.,2.7,5,.,.,.,.
7,4C,175,PIMA,0.3,.,1.7,.,2.9,4.5,.,.,.,.
7,4D,176,PIMA,.,0.3,.,1.8,2.7,3.3,.,.,.,.
7,4D,177,PIMA,.,0.2,.,2.1,3,3.8,.,.,.,.
7,4D,178,PIMA,2.1,.,.,2.1,2.8,3.6,.,.,.,.
7,4D,179,PIMA,2.2,.,.,2,3,4.7,.,.,.,dead_top
7,4D,180,PIMA,.,0.9,0.4,.,2.8,3.4,.,.,.,.
7,4E,181,PIMA,0.4,.,1.2,.,3,3.4,.,.,.,.
7,4F,182,PIMA,0.9,.,.,1.4,3.5,3.1,LL,45,E,.
7,4F,183,PIMA,.,0.6,.,2.3,3.1,3.5,.,.,.,.
7,4F,184,PIMA,.,1.1,1.1,.,2.7,3.3,.,.,.,.
7,4F,185,PIMA,1.2,.,0.8,.,3.1,3.8,.,.,.,.
7,4G,186,PIMA,1.8,.,.,0.5,2.9,3.8,.,.,.,.
7,4H,187,PIMA,.,1.2,.,0.6,3.5,3.8,.,.,.,.
7,4H,188,PIMA,.,1.8,2.3,.,2.6,3.7,.,.,.,.
7,4I,189,PIMA,.,0.4,.,0.4,2.9,3.9,.,.,.,.
7,4I,190,PIMA,0.5,.,1.5,.,2.9,3.8,.,.,.,.
7,4J,191,PIMA,.,0,.,1.4,2.7,3.5,.,.,.,.
7,4J,192,PIMA,0.5,.,.,1.9,2.8,3.6,.,.,.,.