stand,species_code,tree_tag,quad,base_coord_S_m,base_coord_W_m,substratum,year_dead
7,PIMA,76,4E,4.2,2.8,NA,NA
7,PIMA,48,4E,4.2,2.8,NA,NA
7,PIMA,14,4E,4.2,2.8,NA,NA
7,PIMA,13,4E,4.2,2.8,NA,1984
7,PIMA,20,4E,4.2,2.8,NA,1984
7,PIMA,28,4E,4.2,2.8,NA,NA
7,PIMA,93,4E,4.3,2.8,NA,NA
7,PIMA,2,4E,3.8,2.8,NA,NA
7,PIMA,825,4G,0.8,2.8,NA,NA
7,LALA,687,4G,4.2,2.8,NA,NA
2,PIBA,423,2E,3.1,2.9,T,NA
2,PIBA,485,0D,0.9,2.9,FF,NA
2,PIBA,626,5H,1.5,2.9,FF,1984
3,PIMA,190,6J,3.9,2.9,DL,NA
3,PIGL,925,8H,3.3,2.9,DL,NA
4,ABBA,887,4D,2.3,2.9,DL,NA
5,PIGL,389,8F,1,2.9,DL,NA
7,PIMA,890,4G,0.7,2.9,NA,NA
7,PIMA,893,4G,0.9,2.9,NA,NA
7,PIMA,832,4G,1.2,2.9,NA,NA
7,PIMA,854,4G,1.2,2.9,NA,NA
1,POTR,402,4E,0.3,3,HS,NA
1,POTR,458,4E,1.4,3,HS,NA
2,PIBA,603,3E,2.2,3,FF,NA
2,PIBA,798,1B,5,3,FF,NA
3,PIMA,116,6J,4.2,3,DL,NA
3,PIMA,147,6J,4.4,3,DL,NA
3,PIMA,162,6J,3.8,3,FF,NA
3,BEPA,645,8J,4.1,3,FF,NA
3,POTR,974,8H,3.8,3,DL,NA
4,ABBA,323,4G,3.4,3,FF,NA
4,ABBA,324,4H,2.1,3,FF,NA
4,ABBA,399,4H,4,3,DL,NA
4,POTR,751,4H,4.2,3,FF,1984
5,ABBA,299,3G,4.85,3,FF,NA
5,PIGL,314,2J,1.7,3,DL,NA
6,ABBA,722,6G,0.1,3,DL,1984
6,ABBA,902,6I,4.9,3,FF,NA
7,PIMA,85,4E,1.2,3,NA,NA
7,PIMA,67,4E,1.2,3,NA,NA
7,PIMA,83,4E,1.3,3,NA,NA
7,PIMA,88,4E,1.4,3,NA,NA
7,PIMA,84,4E,1.4,3,NA,NA
7,PIMA,52,4E,0.3,3,NA,1985
7,PIMA,860,4G,1,3,NA,NA
1,PIBA,498,4G,1,3.1,HS,NA
1,PIBA,634,8A,0.9,3.1,FF,NA
1,PIBA,637,4G,0.6,3.1,HS,NA
3,PIMA,142,6J,3.8,3.1,FF,NA
4,ABBA,336,4F,2.9,3.1,DL,NA
4,PIGL,803,4E,2.4,3.1,NA,NA
4,PIGL,847,4E,2.4,3.1,NA,NA
5,PIGL,212,2J,2.4,3.1,FF,NA
5,PIGL,377,6G,4.9,3.1,FF,NA
6,ABBA,783,6F,0.1,3.1,DL,NA
7,LALA,78,4E,0.1,3.1,NA,NA
7,PIMA,844,4G,0.8,3.1,NA,NA
7,PIMA,827,4G,0.8,3.1,NA,NA
7,PIMA,899,4G,1.2,3.1,NA,NA
7,PIMA,840,4G,1.1,3.1,NA,NA
7,PIMA,845,4G,1,3.1,NA,NA
7,PIMA,813,4G,0.4,3.1,NA,1984
1,PIBA,666,4J,2.7,3.2,HS,NA
1,PIBA,694,2C,1.4,3.2,HS,NA
1,PIBA,752,0E,1.4,3.2,FF,NA
2,PIBA,403,0F,3.5,3.2,FF,NA
2,PIBA,617,0E,1.2,3.2,T,NA
2,PIBA,719,6E,4.9,3.2,FF,NA
2,PIBA,759,3H,1.5,3.2,M,NA
3,PIMA,164,6J,4.6,3.2,DL,NA
3,POTR,979,8H,3.4,3.2,FF,NA
4,ABBA,381,4H,1,3.2,FF,NA
4,PIGL,843,4E,2.4,3.2,NA,NA
4,PIGL,849,4E,2.4,3.2,NA,NA
5,PIGL,582,8C,1.5,3.2,DL,1984
6,ABBA,454,4H,3.2,3.2,FF,NA
6,ABBA,774,6A,2.2,3.2,FF,NA
7,PIMA,858,4G,0.7,3.2,NA,NA
7,PIMA,855,4G,1.3,3.2,NA,NA
7,PIMA,896,4G,1.2,3.2,NA,NA
7,PIMA,801,4G,0.9,3.2,NA,NA
1,PIBA,622,6C,0.1,3.3,HS,NA
1,PIBA,696,6I,0.1,3.3,HS,NA
3,PIMA,156,6J,4.7,3.3,FF,NA
3,PIMA,172,6J,3.8,3.3,FF,NA
3,PIMA,175,6J,3.7,3.3,FF,NA
3,BEPA,935,8F,3.1,3.3,DL,NA
4,ABBA,347,4H,0.4,3.3,FF,NA
5,PIGL,357,5D,3.2,3.3,FF,NA
5,POTR,527,8F,4.7,3.3,DL,1984
6,ABBA,779,6F,0.3,3.3,DL,NA
6,ABBA,796,5E,1.7,3.3,FF,NA
7,PIMA,824,4G,0.6,3.3,NA,NA
7,PIMA,836,4G,0.5,3.3,NA,NA
7,PIMA,867,4G,0.8,3.3,NA,NA
7,PIMA,817,4G,1,3.3,NA,NA
7,PIMA,892,4G,0.9,3.3,NA,NA
7,PIMA,819,4G,0.9,3.3,NA,NA
7,PIMA,846,4G,1.1,3.3,NA,NA
1,PIBA,493,4F,4.1,3.4,HS,NA
1,PIBA,647,6B,1.5,3.4,HS,NA
1,PIBA,691,8G,3.7,3.4,FF,NA
2,PIBA,419,1A,1.5,3.4,FF,NA
2,PIBA,424,2C,2.6,3.4,M,NA
2,PIBA,470,2C,2.6,3.4,M,NA
3,PIMA,114,6J,4,3.4,FF,NA
3,PIMA,141,6J,4.5,3.4,DL,NA
3,PIMA,152,6J,4,3.4,FF,NA
3,PIMA,161,6J,4.7,3.4,DL,NA
3,PIMA,170,6J,4.9,3.4,DL,NA
3,PIMA,195,6J,4,3.4,FF,NA
4,POBA,831,4D,0.4,3.4,FF,1984
4,ABBA,768,4G,3.75,3.4,DL,NA
5,PIGL,272,7F,3.4,3.4,FF,NA
5,POTR,537,8F,4.6,3.4,DL,1984
6,ABBA,763,6F,2.9,3.4,FF,NA
7,PIMA,882,4G,0.7,3.4,NA,NA
7,PIMA,856,4G,1.1,3.4,NA,1984
7,PIMA,875,4G,0.9,3.45,NA,1984
1,PIBA,609,2G,4.2,3.5,FF,NA
1,PIBA,611,6C,1.1,3.5,HS,NA
1,PIBA,613,8D,1.1,3.5,FF,NA
1,PIBA,676,0E,2.1,3.5,FF,NA
1,PIBA,756,2C,2,3.5,FF,NA
2,PIBA,708,3D,2.1,3.5,FF,NA
3,PIMA,136,6J,4.6,3.5,DL,NA
3,PIMA,148,6J,4.5,3.5,DL,NA
3,PIMA,153,6J,4.6,3.5,DL,NA
3,PIMA,159,6J,4.3,3.5,DL,NA
3,PIMA,168,6J,4.6,3.5,DL,NA
3,PIMA,171,6J,4.5,3.5,DL,NA
3,PIMA,181,6J,4.3,3.5,DL,NA
4,ABBA,344,4F,3.8,3.5,DL,1984
4,ABBA,350,4F,4,3.5,DL,1984
4,ABBA,306,4G,0.7,3.5,M,NA
5,PIGL,555,1C,3.4,3.5,FF,1984
5,PIGL,522,2C,2.4,3.5,FF,NA
6,ABBA,514,4G,3.8,3.5,DL,NA
6,ABBA,778,6H,4.9,3.5,FF,NA
7,PIMA,56,4E,1.1,3.5,NA,NA
7,PIMA,871,4G,0.9,3.5,NA,NA
7,PIMA,816,4G,0.7,3.5,NA,NA
7,PIMA,870,4G,0.7,3.5,NA,NA
7,PIMA,802,4G,1,3.5,NA,NA
1,POTR,436,4E,1.4,3.6,HS,NA
1,POTR,450,4E,0.4,3.6,HS,NA
1,PIBA,704,8J,0.6,3.6,FF,NA
2,PIBA,410,6G,1.6,3.6,FF,NA
2,POTR,439,0A,0.3,3.6,FF,NA
2,PIBA,440,0E,2.4,3.6,FF,NA
2,POTR,457,0A,0.8,3.6,FF,NA
3,PIGL,111,4J,4.2,3.6,DL,NA
3,PIMA,130,6J,4.1,3.6,DL,NA
3,PIMA,194,6J,3.8,3.6,FF,NA
3,PIMA,736,6J,4.7,3.6,DL,NA
3,PIGL,903,8E,3.8,3.6,DL,NA
3,POTR,953,8F,4.7,3.6,T,1985
4,ABBA,353,4F,4.7,3.6,FF,NA
6,ABBA,536,4G,3.5,3.6,DL,NA
6,ABBA,728,6B,5,3.6,DL,NA
7,PIMA,47,4E,1.8,3.6,NA,NA
7,PIMA,60,4E,2.2,3.6,NA,NA
7,PIMA,818,4G,2.9,3.6,NA,NA
7,PIMA,897,4G,2.6,3.6,NA,NA
7,PIMA,815,4G,2.8,3.6,NA,NA
7,LALA,718,4G,2.45,3.6,NA,NA
7,LALA,670,4G,2.45,3.6,NA,NA
7,LALA,680,4G,3.35,3.6,NA,NA
1,PIBA,496,4C,2.1,3.7,HS,NA
1,PIBA,631,2D,1.6,3.7,HS,NA
1,PIBA,632,6J,5,3.7,HS,NA
2,PIBA,433,2B,1.1,3.7,FF,NA
2,PIBA,469,2B,1.2,3.7,FF,1984
2,PIBA,488,2F,5,3.7,FF,NA
2,PIBA,712,3E,3.3,3.7,M,NA
3,PIMA,120,6E,1.1,3.7,H,NA
3,PIMA,127,6J,4.9,3.7,DL,NA
3,PIMA,134,6J,4.3,3.7,DL,NA
3,PIMA,135,6J,4.1,3.7,S,NA
3,PIMA,145,6J,4,3.7,DL,NA
3,PIMA,149,6J,4.4,3.7,DL,NA
3,PIMA,178,6J,4.2,3.7,DL,NA
3,PIMA,192,6J,4.9,3.7,DL,NA
3,PIMA,198,6J,4,3.7,S,NA
3,BEPA,975,8F,3.5,3.7,DL,NA
4,ABBA,387,4H,3.7,3.7,FF,1984
4,ABBA,392,4G,0.6,3.7,FF,NA
4,ABBA,356,4G,3.75,3.7,DL,NA
4,ABBA,386,4G,3.5,3.7,DL,NA
4,ABBA,790,4G,2.5,3.7,M,NA
4,ABBA,646,4G,2.4,3.7,FF,NA
6,ABBA,534,4G,3.8,3.7,DL,NA
6,ABBA,591,4G,3.4,3.7,DL,NA
6,ABBA,525,4G,3.3,3.7,DL,NA
6,ABBA,559,4G,3.2,3.7,DL,NA
6,ABBA,732,6C,2.1,3.7,FF,1984
7,PIMA,822,4G,3.9,3.7,NA,NA
7,PIMA,808,4G,3.8,3.7,NA,NA
7,PIMA,851,4G,3.7,3.7,NA,NA
3,PIMA,151,6J,4.15,3.75,DL,NA
2,PIBA,421,2E,0.8,3.8,T,NA
2,PIBA,738,6E,0.3,3.8,FF,NA
3,PIMA,125,6J,4.4,3.8,DL,NA
3,PIMA,150,6J,4.7,3.8,DL,NA
3,PIMA,167,6J,3.9,3.8,S,NA
3,PIMA,176,6J,4.2,3.8,DL,NA
3,PIMA,186,6J,4.3,3.8,DL,NA
3,PIGL,956,8A,2.8,3.8,DL,NA
3,POTR,983,8H,4,3.8,FF,1985
4,ABBA,369,4E,2.2,3.8,FF,NA
5,PIGL,533,1C,3.2,3.8,DL,NA
6,ABBA,906,6I,4.2,3.8,DL,NA
7,PIMA,58,4E,1.2,3.8,NA,NA
7,PIMA,81,4E,1,3.8,NA,NA
7,PIMA,92,4E,4.8,3.8,NA,NA
7,PIMA,80,4E,2.2,3.8,NA,NA
7,PIMA,805,4G,1.4,3.8,NA,NA
3,PIMA,177,6J,4.2,3.85,DL,NA
3,PIMA,187,6J,4.2,3.85,DL,NA
7,LALA,86,4E,2.2,3.85,NA,NA
1,PIBA,654,2H,1.5,3.9,HS,NA
2,PIBA,97,4G,1.3,3.9,FF,NA
2,POTR,497,0A,0.2,3.9,FF,NA
3,PIMA,182,6J,4.4,3.9,DL,NA
3,POTR,929,8H,4.2,3.9,FF,NA
4,ABBA,322,4H,0.5,3.9,FF,NA
5,PIGL,337,4F,3.2,3.9,FF,1985
6,ABBA,977,4C,2.6,3.9,DL,NA
7,PIMA,65,4E,2.4,3.9,NA,NA
7,PIMA,66,4E,2.45,3.9,NA,NA
7,PIMA,19,4E,2.4,3.9,NA,NA
7,PIMA,848,4G,4.5,3.9,NA,NA
7,PIMA,804,4G,4,3.9,NA,NA
7,PIMA,898,4G,0.9,3.9,NA,NA
7,PIMA,869,4G,1,3.9,NA,NA
7,PIMA,863,4G,1.4,3.9,NA,NA
7,PIMA,873,4G,1.5,3.9,NA,NA
7,PIMA,95,4E,2.4,3.95,NA,NA
7,PIMA,22,4E,2.4,3.95,NA,NA
7,LALA,87,4E,2,3.95,NA,NA
1,PIBA,638,8J,4.1,4,FF,NA
1,PIBA,648,0E,2.2,4,FF,1984
1,PIBA,702,2C,3.4,4,FF,NA
1,PIBA,723,8I,4.2,4,FF,NA
2,POTR,408,0A,0.8,4,FF,NA
2,PIBA,416,3J,3,4,FF,NA
2,PIBA,616,0D,3.9,4,FF,NA
2,POTR,665,0A,0.5,4,FF,NA
3,PIMA,158,6J,4.1,4,DL,NA
4,ABBA,339,4H,2.3,4,FF,NA
4,ABBA,343,4G,4.4,4,M,NA
5,ABBA,542,2D,3.2,4,DL,NA
6,ABBA,552,4G,3.6,4,DL,NA
6,ABBA,570,4G,3.5,4,DL,NA
6,ABBA,548,4G,3.7,4,DL,NA
6,ABBA,988,4D,0.2,4,DL,NA
6,ABBA,713,6D,2.6,4,FF,NA
6,ABBA,750,6C,3.2,4,FF,NA
7,PIMA,71,4E,1,4,NA,NA
7,PIMA,23,4E,0.5,4,NA,NA
7,PIMA,16,4E,0.8,4,NA,NA
7,PIMA,30,4E,0.8,4,NA,NA
7,PIMA,82,4E,0.9,4,NA,NA
7,PIMA,74,4E,2,4,NA,NA
7,PIMA,53,4E,2.3,4,NA,NA
7,PIMA,857,4G,1.5,4,NA,NA
1,POTR,407,4E,2.1,4.1,HS,NA
2,PIBA,412,2H,0.9,4.1,FF,1984
2,PIBA,413,2A,4.7,4.1,FF,NA
2,PIBA,431,2E,1.5,4.1,FF,NA
2,PIBA,437,0E,0.1,4.1,FF,NA
3,POTR,969,8F,4.6,4.1,FF,NA
4,ABBA,394,4H,1.6,4.1,FF,1984
4,ABBA,398,4H,4.5,4.1,DL,1984
6,ABBA,578,4G,2.2,4.1,DL,NA
6,ABBA,944,4C,2.6,4.1,FF,NA
6,ABBA,782,6C,2.4,4.1,FF,NA
7,PIMA,96,4E,0.9,4.1,NA,NA
7,PIMA,64,4E,4.7,4.1,NA,NA
3,PIMA,179,6J,4.1,4.15,DL,NA
7,LALA,75,4E,2.3,4.15,NA,NA
1,PIBA,716,2C,3.1,4.2,FF,NA
2,PIBA,447,1E,3.3,4.2,FF,NA
2,PIBA,473,3G,2.5,4.2,T,NA
2,PIBA,715,0E,1.8,4.2,T,NA
2,PIBA,788,2J,4.1,4.2,FF,NA
3,PIMA,166,6J,4.1,4.2,DL,NA
3,POTR,642,8J,3.1,4.2,FF,NA
3,PIMA,792,6J,4.2,4.2,DL,NA
3,POTR,905,8F,2.5,4.2,FF,1985
3,POTR,981,8F,4.2,4.2,DL,NA
4,ABBA,318,4H,4,4.2,DL,1984
4,ABBA,352,4F,4.1,4.2,FF,NA
5,POTR,295,6H,1,4.2,DL,1984
5,POTR,282,6H,1,4.2,DL,1985
6,ABBA,710,6A,1.4,4.2,FF,NA
7,LALA,35,4E,0.2,4.2,NA,NA
4,ABBA,388,4G,4.55,4.25,M,NA
7,LALA,18,4E,2.3,4.25,NA,NA
1,POTR,486,4E,1.8,4.3,MS,NA
1,PIBA,686,2D,1.8,4.3,DL,NA
1,PIBA,692,6C,0.1,4.3,HS,NA
1,PIBA,737,2C,3.4,4.3,FF,NA
2,PIBA,59,4E,3,4.3,T,NA
2,PIBA,91,4E,3,4.3,T,NA
2,PIBA,448,0E,0.3,4.3,FF,NA
2,PIBA,471,2E,0.1,4.3,FF,NA
3,PIMA,124,6J,4.3,4.3,DL,NA
3,PIMA,146,6J,4.3,4.3,DL,NA
3,POTR,623,8J,4.2,4.3,T,1985
3,PIGL,652,0E,4.6,4.3,DL,NA
3,POTR,653,8J,4.2,4.3,T,NA
3,BEPA,933,8H,4.3,4.3,DL,NA
3,POTR,934,8H,2.8,4.3,FF,NA
4,ABBA,395,4H,4.3,4.3,FF,NA
4,POTR,720,4G,1.7,4.3,FF,1984
5,POTR,524,1B,1.5,4.3,DL,1984
5,POTR,528,1B,1.5,4.3,DL,1984
6,ABBA,547,4G,3.8,4.3,DL,NA
6,ABBA,511,4G,3.7,4.3,DL,NA
6,ABBA,978,6I,1.8,4.3,DL,NA
7,LALA,68,4E,3.3,4.3,NA,NA
7,LALA,79,4E,3.7,4.3,NA,NA
1,PIBA,620,2D,0.7,4.4,HS,NA
2,PIBA,494,2A,4.9,4.4,FF,NA
3,PIMA,180,6B,4.4,4.4,FF,NA
3,PIMA,191,6J,4.4,4.4,DL,NA
5,POTR,543,2D,1.7,4.4,DL,1984
6,ABBA,531,4G,4.5,4.4,DL,NA
6,ABBA,526,4G,4.7,4.4,FF,NA
6,ABBA,739,6A,1,4.4,FF,NA
7,LALA,27,4F,1,4.4,NA,NA
7,PIMA,835,4G,2.8,4.4,NA,NA
7,PIMA,823,4G,2.6,4.4,NA,NA
7,LALA,77,4E,3.4,4.45,NA,NA
7,LALA,9,4E,3.4,4.45,NA,1985
1,PIBA,467,4B,1.8,4.5,HS,NA
1,PIBA,705,4F,3.3,4.5,FF,NA
2,PIBA,491,6F,1.3,4.5,FF,NA
2,POTR,679,0A,0.2,4.5,FF,NA
2,PIBA,711,0E,0.1,4.5,FF,NA
3,PIMA,139,6J,4.4,4.5,DL,NA
3,PIMA,199,6E,1.3,4.5,H,1984
3,POTR,999,8H,4.6,4.5,FF,NA
4,ABBA,334,4H,4.4,4.5,DL,NA
4,ABBA,345,4H,2.3,4.5,FF,1984
5,PIGL,278,5D,0.8,4.5,FF,NA
5,PIGL,572,8C,3.4,4.5,FF,NA
6,ABBA,559,4G,0.9,4.5,FF,NA
7,PIMA,1,4E,2.2,4.5,NA,NA
7,LALA,9,4E,0.5,4.5,NA,1984
7,LALA,12,4E,0.55,4.5,NA,NA
7,PIMA,891,4G,0.5,4.5,NA,NA
2,PIBA,490,2B,3,4.55,FF,1984
7,PIMA,50,4E,2.4,4.55,NA,NA
7,PIMA,6,4E,2.5,4.55,NA,NA
3,ABBA,629,0G,4.6,4.6,FF,NA
4,ABBA,807,4D,3.8,4.6,FF,NA
4,ABBA,754,4G,3.6,4.6,FF,NA
5,POTR,557,9A,2,4.6,FF,NA
5,PIGL,544,8B,2.5,4.6,FF,NA
5,PIGL,540,9B,4.9,4.6,FF,NA
6,ABBA,587,4G,4.5,4.6,FF,NA
6,ABBA,764,6B,4.9,4.6,FF,NA
3,PIMA,196,6J,4.4,4.7,DL,NA
3,POTR,996,8I,3.8,4.7,FF,NA
4,ABBA,341,4H,3.7,4.7,DL,NA
5,POTR,595,1B,3,4.7,FF,NA
5,POTR,560,1B,1.6,4.7,DL,1984
6,ABBA,762,6B,1,4.7,FF,NA
7,PIMA,4,4E,2.5,4.7,NA,NA
1,PIBA,610,2G,0.5,4.8,HS,NA
2,PIBA,411,2A,4.5,4.8,FF,NA
3,PIMA,185,6C,3.3,4.8,DL,NA
3,BEPA,643,2I,5,4.8,DL,NA
6,ABBA,575,4E,0.3,4.8,FF,1984
6,ABBA,955,4C,4.7,4.8,R,NA
7,PIMA,90,4E,0.7,4.8,NA,1985
2,PIGL,695,3H,0.5,4.9,M,NA
3,PIMA,117,6J,4.2,4.9,DL,NA
3,POTR,918,8G,3.9,4.9,T,NA
3,PIGL,924,8G,4.8,4.9,DL,NA
3,BEPA,973,8I,2.4,4.9,DL,NA
4,ABBA,368,4H,1.6,4.9,FF,1984
2,PIBA,483,0F,1.1,4.95,FF,NA
